1654218356,0.03
1654224881,0.06
1654227371,0.03
1654228630,0.03
1654229688,0.03
1654231144,0.03
1654231883,0.03
1654232251,0.06
1654233122,0.06
1654234016,0.06
1654234520,0.09
1654234887,0.09
1654235253,0.09
1654235633,0.06
1654236011,0.06
1654237388,0.09
1654238485,0.06
1654239140,0.06
1654239507,0.06
1654240430,0.06
1654241244,0.09
1654241700,0.09
1654242067,0.09
1654242441,0.09
1654242828,0.13
1654243203,0.13
1654244536,0.13
1654245502,0.19
1654246053,0.16
1654246426,0.16
1654246808,0.1
1654247943,0.07
1654248777,0.07
1654249401,0.07
1654249766,0.07
1654250145,0.03
1654250922,0.06
1654252227,0.09
1654252936,0.13
1654253318,0.13
1654253692,0.13
1654254224,0.1
1654255183,0.1
1654255709,0.1
1654256111,0.1
1654256496,0.06
1654256880,0.06
1654257255,0.06
1654258113,0.03
1654260601,0.09
1654262456,0.12
1654263760,0.09
1654264231,0.13
1654264598,0.13
1654265345,0.15
1654266211,0.15
1654266653,0.13
1654267087,0.16
1654267466,0.16
1654267853,0.13
1654268239,0.13
1654269128,0.1
1654270327,0.13
