1652924976;0.03
1652930260;0.03
1652932943;0.09
1652935255;0.03
1652936592;0.03
1652938090;0.06
1652938879;0.09
1652939317;0.09
1652939688;0.09
1652940513;0.12
1652942198;0.09
1652943292;0.13
1652944090;0.1
1652945501;0.06
1652945780;0.06
1652946237;0.09
1652946622;0.09
1652947002;0.09
1652948055;0.12
1652949485;0.12
1652950295;0.12
1652950666;0.12
1652951644;0.12
1652952721;0.09
1652953504;0.1
1652953883;0.1
1652954250;0.1
1652955322;0.06
1652956630;0.06
1652957354;0.06
1652957722;0.06
1652958408;0.1
1652959431;0.18
1652959985;0.18
1652960460;0.09
1652960840;0.06
1652961216;0.06
1652961677;0.06
1652964009;0.09
1652966669;0.12
1652968368;0.12
1652968855;0.15
1652970555;0.23
1652970741;0.23
1652971462;0.23
1652971970;0.23
1652972333;0.15
1652973873;0.13
1652975737;0.22
1652977619;0.26
1652981187;0.24
1652983273;0.1
1652985274;0.06
1652986567;0.03
1652987352;0.03
1652988254;0.06
1652988659;0.03
1652989120;0.03
1652989498;0.03
1652989869;0.03
1652990236;0.03
1652991200;0.06
1652992313;0.06
