1653441257,0.03
1653447846,0.06
1653450689,0.06
1653452159,0.06
1653454203,0.03
1653455355,0.03
1653456641,0.06
1653457355,0.09
1653457756,0.09
1653458125,0.09
1653459040,0.09
1653460621,0.06
1653461663,0.06
1653462280,0.06
1653463499,0.09
1653464159,0.09
1653464615,0.09
1653464988,0.09
1653465377,0.09
1653466384,0.06
1653467897,0.06
1653468716,0.13
1653469081,0.1
1653470074,0.1
1653471097,0.06
1653471750,0.06
1653472124,0.06
1653472500,0.06
1653473346,0.09
1653474715,0.09
1653475563,0.17
1653476001,0.14
1653476374,0.14
1653477383,0.09
1653478209,0.09
